Overall #,Round #,Team,Transactions,,,,,Player Drafted
Round 1,,,,,,,,
1,1-Jan,,,,,,,Bryce Young
,,Bears,Panthers,,,,,
,,,,,,,,
,,,Traded ? D.J. Moore (Jr.) ? 2023 first round pick (#9-Jalen Carter) ? 2023 second round pick (#61-Brenton Strange) ? 2024 first round pick (#1-Caleb Williams) ? 2025 second round pick (#39-Luther Burden III) to Bears for ? 2023 first round pick (#1-Bryce Young) on 2023-03-15,,,,,
2,2-Jan,,,,,,,C.J. Stroud
,,Texans,,,,,,
3,3-Jan,,,,,,,Will Anderson Jr.
,,Cardinals,Texans,,,,,
,,,,,,,,
,,,Traded ? 2023 first round pick (#12-Jahmyr Gibbs) ? 2023 second round pick (#33-Will Levis) ? 2024 first round pick (#27-Darius Robinson) ? 2024 third round pick (#90-Elijah Jones) to Cardinals for ? 2023 first round pick (#3-Will Anderson Jr.) ? 2023 fourth round pick (#105-Kelee Ringo) on 2023-04-27,,,,,
4,4-Jan,,,,,,,Anthony Richardson
,,Colts,,,,,,
5,5-Jan,,,,,,,Devon Witherspoon
,,Broncos,Seahawks,,,,,
,,,,,,,,
,,,Traded ? Russell Wilson ? 2022 fourth round pick (#116-Eyioma Uwazurike) to Broncos for ? Drew Lock ? Noah Fant ? Shelby Harris ? 2022 first round pick (#9-Charles Cross) ? 2022 second round pick (#40-Boye Mafe) ? 2022 fifth round pick (#145-Darian Kinnard) ? 2023 first round pick (#5-Devon Witherspoon) ? 2023 second round pick (#37-Derick Hall) on 2022-03-16,,,,,
6,6-Jan,,,,,,,Paris Johnson Jr.
,,Rams,Lions,Cardinals,,,,
,,,,,,,,
,,,Traded ? Matthew Stafford to Rams for ? Jared Goff ? 2021 third round pick (#101-Ifeatu Melifonwu) ? 2022 first round pick (#32-Lewis Cine) ? 2023 first round pick (#6-Paris Johnson Jr.) on 2021-03-18,Traded ? 2023 first round pick (#12-Jahmyr Gibbs) ? 2023 second round pick (#34-Sam LaPorta) ? 2023 fifth round pick (#168-Owen Pappoe) to Lions for ? 2023 first round pick (#6-Paris Johnson Jr.) ? 2023 third round pick (#81-Tyjae Spears) on 2023-04-27,,,,
7,7-Jan,,,,,,,Tyree Wilson
,,Raiders,,,,,,
8,8-Jan,,,,,,,Bijan Robinson
,,Falcons,,,,,,
9,9-Jan,,,,,,,Jalen Carter
,,Panthers,Bears,Eagles,,,,
,,,,,,,,
,,,Traded ? 2023 first round pick (#1-Bryce Young) to Panthers for ? D.J. Moore (Jr.) ? 2023 first round pick (#9-Jalen Carter) ? 2023 second round pick (#61-Brenton Strange) ? 2024 first round pick (#1-Caleb Williams) ? 2025 second round pick (#39-Luther Burden III) on 2023-03-15,Traded ? 2023 first round pick (#10-Darnell Wright) ? 2024 fourth round pick (#122-Tory Taylor) to Bears for ? 2023 first round pick (#9-Jalen Carter) on 2023-04-27,,,,
10,10-Jan,,,,,,,Darnell Wright
,,Saints,Eagles,Bears,,,,
,,,,,,,,
,,,Traded ? 2022 first round pick (#16-Jahan Dotson) ? 2022 first round pick (#19-Trevor Penning) ? 2022 sixth round pick (#194-Jordan Jackson) to Saints for ? 2022 first round pick (#18-Treylon Burks) ? 2022 third round pick (#101-Jeremy Ruckert) ? 2022 seventh round pick (#237-Chase Lucas) ? 2023 first round pick (#10-Darnell Wright) ? 2024 second round pick (#50-Mike Sainristil) on 2022-04-04,Traded ? 2023 first round pick (#9-Jalen Carter) to Eagles for ? 2023 first round pick (#10-Darnell Wright) ? 2024 fourth round pick (#122-Tory Taylor) on 2023-04-27,,,,
11,11-Jan,,,,,,,Peter Skoronski
,,Titans,,,,,,
12,12-Jan,,,,,,,Jahmyr Gibbs
,,Browns,Texans,Cardinals,Lions,,,
,,,,,,,,
,,,Traded ? Deshaun Watson ? 2024 sixth round pick (#203-Will Reichard) to Browns for ? 2022 first round pick (#13-Jordan Davis) ? 2022 fourth round pick (#107-Dameon Pierce) ? 2023 first round pick (#12-Jahmyr Gibbs) ? 2023 third round pick (#73-Jalin Hyatt) ? 2024 first round pick (#23-Brian Thomas) ? 2024 fourth round pick (#123-Cade Stover) on 2022-03-21,Traded ? 2023 first round pick (#3-Will Anderson Jr.) ? 2023 fourth round pick (#105-Kelee Ringo) to Texans for ? 2023 first round pick (#12-Jahmyr Gibbs) ? 2023 second round pick (#33-Will Levis) ? 2024 first round pick (#27-Darius Robinson) ? 2024 third round pick (#90-Elijah Jones) on 2023-04-27,Traded ? 2023 first round pick (#6-Paris Johnson Jr.) ? 2023 third round pick (#81-Tyjae Spears) to Cardinals for ? 2023 first round pick (#12-Jahmyr Gibbs) ? 2023 second round pick (#34-Sam LaPorta) ? 2023 fifth round pick (#168-Owen Pappoe) on 2023-04-27,,,
13,13-Jan,,,,,,,Lukas Van Ness
,,Jets,Packers,,,,,
,,,,,,,,
,,,"Traded ? Aaron Rodgers ? 2023 first round pick (#15-Will McDonald IV) ? 2023 fifth round pick (#170-Chris Smith II) to Jets for ? 2023 first round pick (#13-Lukas Van Ness) ? 2023 second round pick (#42-Luke Musgrave) ? 2023 sixth round pick (#207-Anders Carlson) ? 2024 conditional round pick (first round pick if Rodgers plays 65% of snaps in 2023 season, else second round) (#41-Kool-Aid McKinstry) on 2023-04-26",,,,,
14,14-Jan,,,,,,,Broderick Jones
,,Patriots,Steelers,,,,,
,,,,,,,,
,,,Traded ? 2023 first round pick (#17-Christian Gonzalez) ? 2023 fourth round pick (#120-Carter Warren) to Patriots for ? 2023 first round pick (#14-Broderick Jones) on 2023-04-27,,,,,
15,15-Jan,,,,,,,Will McDonald IV
,,Packers,Jets,,,,,
,,,,,,,,
,,,"Traded ? 2023 first round pick (#13-Lukas Van Ness) ? 2023 second round pick (#42-Luke Musgrave) ? 2023 sixth round pick (#207-Anders Carlson) ? 2024 conditional round pick (first round pick if Rodgers plays 65% of snaps in 2023 season, else second round) (#41-Kool-Aid McKinstry) to Packers for ? Aaron Rodgers ? 2023 first round pick (#15-Will McDonald IV) ? 2023 fifth round pick (#170-Chris Smith II) on 2023-04-26",,,,,
16,16-Jan,,,,,,,Emmanuel Forbes
,,Commanders,,,,,,
17,17-Jan,,,,,,,Christian Gonzalez
,,Steelers,Patriots,,,,,
,,,,,,,,
,,,Traded ? 2023 first round pick (#14-Broderick Jones) to Steelers for ? 2023 first round pick (#17-Christian Gonzalez) ? 2023 fourth round pick (#120-Carter Warren) on 2023-04-27,,,,,
18,18-Jan,,,,,,,Jack Campbell
,,Lions,,,,,,
19,19-Jan,,,,,,,Calijah Kancey
,,Buccaneers,,,,,,
20,20-Jan,,,,,,,Jaxon Smith-Njigba
,,Seahawks,,,,,,
,,,"team forfeited 2023 first round pick 2024 third round pick for violating league policies pertaining to the integrity of the game (violated league tampering rules with Tom Brady and Sean Payton while they were under contract with other teams, and team intentionally lost games during 2019 season to improve its draft position)",,,,,
,,Dolphins,,,,,,
21,21-Jan,,,,,,,Quentin Johnston
,,Chargers,,,,,,
22,22-Jan,,,,,,,Zay Flowers
,,Ravens,,,,,,
23,23-Jan,,,,,,,Jordan Addison
,,Vikings,,,,,,
24,24-Jan,,,,,,,Deonte Banks
,,Jaguars,Giants,,,,,
,,,,,,,,
,,,Traded ? 2023 first round pick (#25-Dalton Kincaid) ? 2023 fifth round pick (#160-Antonio Johnson) ? 2023 seventh round pick (#240-Derek Parish) to Jaguars for ? 2023 first round pick (#24-Deonte Banks) on 2023-04-27,,,,,
25,25-Jan,,,,,,,Dalton Kincaid
,,Giants,Jaguars,Bills,,,,
,,,,,,,,
,,,Traded ? 2023 first round pick (#24-Deonte Banks) to Giants for ? 2023 first round pick (#25-Dalton Kincaid) ? 2023 fifth round pick (#160-Antonio Johnson) ? 2023 seventh round pick (#240-Derek Parish) on 2023-04-27,Traded ? 2023 first round pick (#27-Anton Harrison) ? 2023 fourth round pick (#130-Tyler Lacy) to Jaguars for ? 2023 first round pick (#25-Dalton Kincaid) on 2023-04-27,,,,
26,26-Jan,,,,,,,Mazi Smith
,,Cowboys,,,,,,
27,27-Jan,,,,,,,Anton Harrison
,,Bills,Jaguars,,,,,
,,,,,,,,
,,,Traded ? 2023 first round pick (#25-Dalton Kincaid) to Bills for ? 2023 first round pick (#27-Anton Harrison) ? 2023 fourth round pick (#130-Tyler Lacy) on 2023-04-27,,,,,
28,28-Jan,,,,,,,Myles Murphy
,,Bengals,,,,,,
29,29-Jan,,,,,,,Bryan Bresee
,,49ers,Dolphins,Broncos,Saints,,,
,,,,,,,,
,,,Traded ? 2021 first round pick (#3-Trey Lance) to 49ers for ? 2021 first round pick (#12-Micah Parsons) ? 2022 first round pick (#29-Cole Strange) ? 2022 third round pick (#102-Channing Tindall) ? 2023 first round pick (#29-Bryan Bresee) on 2021-03-26,Traded ? Bradley Chubb ? 2025 fifth round pick (#155-Dante Trader Jr.) to Dolphins for ? Chase Edmonds ? 2023 first round pick (#29-Bryan Bresee) ? 2024 fourth round pick (#121-A.J. Barner) on 2022-11-01,Traded ? rights to head coach Sean Payton ? 2024 third round pick (#81-Christian Haynes) to Broncos for ? 2023 first round pick (#29-Bryan Bresee) ? 2024 second round pick (#45-Edgerrin Cooper) on 2023-01-31,,,
30,30-Jan,,,,,,,Nolan Smith
,,Eagles,,,,,,
31,31-Jan,,,,,,,Felix Anudike-Uzomah
,,Chiefs,,,,,,
Round 2,,,,,,,,
32,1-Feb,,,,,,,Joey Porter Jr.
,,Bears,Steelers,,,,,
,,,,,,,,
,,,Traded ? Chase Claypool to Bears for ? 2023 second round pick (#32-Joey Porter Jr.) on 2022-11-01,,,,,
33,2-Feb,,,,,,,Will Levis
,,Texans,Cardinals,Titans,,,,
,,,,,,,,
,,,Traded ? 2023 first round pick (#3-Will Anderson Jr.) ? 2023 fourth round pick (#105-Kelee Ringo) to Texans for ? 2023 first round pick (#12-Jahmyr Gibbs) ? 2023 second round pick (#33-Will Levis) ? 2024 first round pick (#27-Darius Robinson) ? 2024 third round pick (#90-Elijah Jones) on 2023-04-27,Traded ? 2023 second round pick (#41-B.J. Ojulari) ? 2023 third round pick (#72-Garrett Williams) ? 2024 third round pick (#71-Isaiah Adams) to Cardinals for ? 2023 second round pick (#33-Will Levis) ? 2023 third round pick (#81-Tyjae Spears) on 2023-04-28,,,,
34,3-Feb,,,,,,,Sam LaPorta
,,Cardinals,Lions,,,,,
,,,,,,,,
,,,Traded ? 2023 first round pick (#6-Paris Johnson Jr.) ? 2023 third round pick (#81-Tyjae Spears) to Cardinals for ? 2023 first round pick (#12-Jahmyr Gibbs) ? 2023 second round pick (#34-Sam LaPorta) ? 2023 fifth round pick (#168-Owen Pappoe) on 2023-04-27,,,,,
35,4-Feb,,,,,,,Michael Mayer
,,Colts,Raiders,,,,,
,,,,,,,,
,,,Traded ? 2023 second round pick (#38-Matthew Bergeron) ? 2023 fifth round pick (#141-Jaquelin Roy) to Colts for ? 2023 second round pick (#35-Michael Mayer) on 2023-04-28,,,,,
36,5-Feb,,,,,,,Steve Avila
,,Rams,,,,,,
37,6-Feb,,,,,,,Derick Hall
,,Broncos,Seahawks,,,,,
,,,,,,,,
,,,Traded ? Russell Wilson ? 2022 fourth round pick (#116-Eyioma Uwazurike) to Broncos for ? Drew Lock ? Noah Fant ? Shelby Harris ? 2022 first round pick (#9-Charles Cross) ? 2022 second round pick (#40-Boye Mafe) ? 2022 fifth round pick (#145-Darian Kinnard) ? 2023 first round pick (#5-Devon Witherspoon) ? 2023 second round pick (#37-Derick Hall) on 2022-03-16,,,,,
38,7-Feb,,,,,,,Matthew Bergeron
,,Raiders,Colts,Falcons,,,,
,,,,,,,,
,,,Traded ? 2023 second round pick (#35-Michael Mayer) to Raiders for ? 2023 second round pick (#38-Matthew Bergeron) ? 2023 fifth round pick (#141-Jaquelin Roy) on 2023-04-28,Traded ? 2023 second round pick (#44-Julius Brents) ? 2023 fourth round pick (#110-Adetomiwa Adebawore) to Colts for ? 2023 second round pick (#38-Matthew Bergeron) on 2023-04-28,,,,
39,8-Feb,,,,,,,Jonathan Mingo
,,Panthers,,,,,,
40,9-Feb,,,,,,,Isaiah Foskey
,,Saints,,,,,,
41,10-Feb,,,,,,,B.J. Ojulari
,,Titans,Cardinals,,,,,
,,,,,,,,
,,,Traded ? 2023 second round pick (#33-Will Levis) ? 2023 third round pick (#81-Tyjae Spears) to Titans for ? 2023 second round pick (#41-B.J. Ojulari) ? 2023 third round pick (#72-Garrett Williams) ? 2024 third round pick (#71-Isaiah Adams) on 2023-04-28,,,,,
42,11-Feb,,,,,,,Luke Musgrave
,,Browns,Jets,Packers,,,,
,,,,,,,,
,,,Traded ? Elijah Moore ? 2023 third round pick (#74-Cedric Tillman) to Browns for ? 2023 second round pick (#42-Luke Musgrave) on 2023-03-23,"Traded ? Aaron Rodgers ? 2023 first round pick (#15-Will McDonald IV) ? 2023 fifth round pick (#170-Chris Smith II) to Jets for ? 2023 first round pick (#13-Lukas Van Ness) ? 2023 second round pick (#42-Luke Musgrave) ? 2023 sixth round pick (#207-Anders Carlson) ? 2024 conditional round pick (first round pick if Rodgers plays 65% of snaps in 2023 season, else second round) (#41-Kool-Aid McKinstry) on 2023-04-26",,,,
43,12-Feb,,,,,,,Joe Tippmann
,,Jets,,,,,,
44,13-Feb,,,,,,,Julius Brents
,,Falcons,Colts,,,,,
,,,,,,,,
,,,Traded ? 2023 second round pick (#38-Matthew Bergeron) to Falcons for ? 2023 second round pick (#44-Julius Brents) ? 2023 fourth round pick (#110-Adetomiwa Adebawore) on 2023-04-28,,,,,
45,14-Feb,,,,,,,Brian Branch
,,Packers,Lions,,,,,
,,,,,,,,
,,,Traded ? 2023 second round pick (#48-Cody Mauch) ? 2023 fifth round pick (#159-Dontayvion Wicks) to Packers for ? 2023 second round pick (#45-Brian Branch) on 2023-04-28,,,,,
46,15-Feb,,,,,,,Keion White
,,Patriots,,,,,,
47,16-Feb,,,,,,,Jartavius Martin
,,Commanders,,,,,,
48,17-Feb,,,,,,,Cody Mauch
,,Lions,Packers,Buccaneers,,,,
,,,,,,,,
,,,Traded ? 2023 second round pick (#45-Brian Branch) to Lions for ? 2023 second round pick (#48-Cody Mauch) ? 2023 fifth round pick (#159-Dontayvion Wicks) on 2023-04-28,Traded ? 2023 second round pick (#50-Jayden Reed) ? 2023 sixth round pick (#179-Karl Brooks) to Packers for ? 2023 second round pick (#48-Cody Mauch) on 2023-04-28,,,,
49,18-Feb,,,,,,,Keeanu Benton
,,Steelers,,,,,,
50,19-Feb,,,,,,,Jayden Reed
,,Buccaneers,Packers,,,,,
,,,,,,,,
,,,Traded ? 2023 second round pick (#48-Cody Mauch) to Buccaneers for ? 2023 second round pick (#50-Jayden Reed) ? 2023 sixth round pick (#179-Karl Brooks) on 2023-04-28,,,,,
51,20-Feb,,,,,,,Cam Smith
,,Dolphins,,,,,,
52,21-Feb,,,,,,,Zach Charbonnet
,,Seahawks,,,,,,
53,22-Feb,,,,,,,Gervon Dexter
,,Ravens,Bears,,,,,
,,,,,,,,
,,,Traded ? Roquan Smith to Ravens for ? A.J. Klein ? 2023 second round pick (#53-Gervon Dexter) ? 2023 fifth round pick (#148-Noah Sewell) on 2022-11-01,,,,,
54,23-Feb,,,,,,,Tuli Tuipulotu
,,Chargers,,,,,,
55,24-Feb,,,,,,,Rashee Rice
,,Vikings,Lions,Chiefs,,,,
,,,,,,,,
,,,"Traded ? T.J. Hockenson ? 2023 fourth round pick (#119-Chamarri Conner) ? 2024 conditional round pick (fourth round if Vikings do not win a playoff game in 2022, else fifth round) (#129-Isaac Guerendo) to Vikings for ? 2023 second round pick (#55-Rashee Rice) ? 2024 third round pick (#73-Cooper Beebe) on 2022-11-01",Traded ? 2023 second round pick (#63-Marvin Mims) ? 2023 fourth round pick (#122-Jon Gaines II) ? 2023 seventh round pick (#249-Moro Ojomo) to Lions for ? 2023 second round pick (#55-Rashee Rice) ? 2023 sixth round pick (#194-Keondre Coburn) on 2023-04-28,,,,
56,25-Feb,,,,,,,Tyrique Stevenson
,,Jaguars,Bears,,,,,
,,,,,,,,
,,,Traded ? 2023 second round pick (#61-Brenton Strange) ? 2023 fifth round pick (#136-Yasir Abdullah) to Jaguars for ? 2023 second round pick (#56-Tyrique Stevenson) on 2023-04-28,,,,,
57,26-Feb,,,,,,,John Michael Schmitz
,,Giants,,,,,,
58,27-Feb,,,,,,,Luke Schoonmaker
,,Cowboys,,,,,,
59,28-Feb,,,,,,,O'Cyrus Torrence
,,Bills,,,,,,
60,Feb-29,,,,,,,D.J. Turner
,,Bengals,,,,,,
61,Feb-30,,,,,,,Brenton Strange
,,49ers,Panthers,Bears,Jaguars,,,
,,,,,,,,
,,,Traded ? Christian McCaffrey to 49ers for ? 2023 second round pick (#61-Brenton Strange) ? 2023 third round pick (#93-Darnell Washington) ? 2023 fourth round pick (#132-Nick Herbig) ? 2024 fifth round pick (#166-Tyrone Tracy Jr.) on 2022-10-21,Traded ? 2023 first round pick (#1-Bryce Young) to Panthers for ? D.J. Moore (Jr.) ? 2023 first round pick (#9-Jalen Carter) ? 2023 second round pick (#61-Brenton Strange) ? 2024 first round pick (#1-Caleb Williams) ? 2025 second round pick (#39-Luther Burden III) on 2023-03-15,Traded ? 2023 second round pick (#56-Tyrique Stevenson) to Bears for ? 2023 second round pick (#61-Brenton Strange) ? 2023 fifth round pick (#136-Yasir Abdullah) on 2023-04-28,,,
62,Feb-31,,,,,,,Juice Scruggs
,,Eagles,Texans,,,,,
,,,,,,,,
,,,Traded ? 2023 third round pick (#65-Tyler Steen) ? 2023 sixth round pick (#188-Tanner McKee) ? 2023 seventh round pick (#230-Nick Broeker) to Eagles for ? 2023 second round pick (#62-Juice Scruggs) on 2023-04-28,,,,,
63,Feb-32,,,,,,,Marvin Mims
,,Chiefs,Lions,Broncos,,,,
,,,,,,,,
,,,Traded ? 2023 second round pick (#55-Rashee Rice) ? 2023 sixth round pick (#194-Keondre Coburn) to Chiefs for ? 2023 second round pick (#63-Marvin Mims) ? 2023 fourth round pick (#122-Jon Gaines II) ? 2023 seventh round pick (#249-Moro Ojomo) on 2023-04-28,Traded ? 2023 third round pick (#68-Hendon Hooker) ? 2023 fifth round pick (#139-Clayton Tune) to Lions for ? 2023 second round pick (#63-Marvin Mims) ? 2023 sixth round pick (#183-J.L. Skinner) on 2023-04-28,,,,
Round 3,,,,,,,,
64,1-Mar,,,,,,,Zacch Pickens
,,Bears,,,,,,
65,2-Mar,,,,,,,Tyler Steen
,,Texans,Eagles,,,,,
,,,,,,,,
,,,Traded ? 2023 second round pick (#62-Juice Scruggs) to Texans for ? 2023 third round pick (#65-Tyler Steen) ? 2023 sixth round pick (#188-Tanner McKee) ? 2023 seventh round pick (#230-Nick Broeker) on 2023-04-28,,,,,
66,3-Mar,,,,,,,Sydney Brown
,,Cardinals,Eagles,,,,,
,,,,,,,,
