Overall #,Round #,Team,Transactions,,,,Player Drafted
Round 1,,,,,,,
1,1-Jan,,,,,,Cam Ward
,,Titans,,,,,
2,2-Jan,,,,,,Travis Hunter
,,Browns,Jaguars,,,,
,,,,,,,
,,,Traded ? 2025 first round pick (#5-Mason Graham) ? 2025 second round pick (#36-Quinshon Judkins) ? 2025 fourth round pick (#126-Dylan Sampson) ? 2026 first round pickÿ(?-?)ÿto Browns for ? 2025 first round pick (#2-Travis Hunter) ? 2025 fourth round pick (#104-Bhayshul Tuten) ? 2025 sixth round pick (#200-Rayuan Lane III) on 2025-04-24,,,,
3,3-Jan,,,,,,Abdul Carter
,,Giants,,,,,
4,4-Jan,,,,,,Will Campbell
,,Patriots,,,,,
5,5-Jan,,,,,,Mason Graham
,,Jaguars,Browns,,,,
,,,,,,,
,,,Traded ? 2025 first round pick (#2-Travis Hunter) ? 2025 fourth round pick (#104-Bhayshul Tuten) ? 2025 sixth round pick (#200-Rayuan Lane III) to Jaguars for ? 2025 first round pick (#5-Mason Graham) ? 2025 second round pick (#36-Quinshon Judkins) ? 2025 fourth round pick (#126-Dylan Sampson) ? 2026 first round pickÿ(?-?)ÿon 2025-04-24,,,,
6,6-Jan,,,,,,Ashton Jeanty
,,Raiders,,,,,
7,7-Jan,,,,,,Armand Membou
,,Jets,,,,,
8,8-Jan,,,,,,Tetairoa McMillan
,,Panthers,,,,,
9,9-Jan,,,,,,Kelvin Banks Jr.
,,Saints,,,,,
10,10-Jan,,,,,,Colston Loveland
,,Bears,,,,,
11,11-Jan,,,,,,Mykel Williams
,,49ers,,,,,
12,12-Jan,,,,,,Tyler Booker
,,Cowboys,,,,,
13,13-Jan,,,,,,Kenneth Grant
,,Dolphins,,,,,
14,14-Jan,,,,,,Tyler Warren
,,Colts,,,,,
15,15-Jan,,,,,,Jalon Walker
,,Falcons,,,,,
16,16-Jan,,,,,,Walter Nolen
,,Cardinals,,,,,
17,17-Jan,,,,,,Shemar Stewart
,,Bengals,,,,,
18,18-Jan,,,,,,Grey Zabel
,,Seahawks,,,,,
19,19-Jan,,,,,,Emeka Egbuka
,,Buccaneers,,,,,
20,20-Jan,,,,,,Jahdae Barron
,,Broncos,,,,,
21,21-Jan,,,,,,Derrick Harmon
,,Steelers,,,,,
22,22-Jan,,,,,,Omarion Hampton
,,Chargers,,,,,
23,23-Jan,,,,,,Matthew Golden
,,Packers,,,,,
24,24-Jan,,,,,,Donovan Jackson
,,Vikings,,,,,
25,25-Jan,,,,,,Jaxson Dart
,,Texans,Giants,,,,
,,,,,,,
